STATIONING (ft),LATITUDE,LONGITUDE,PS_ON,PS_OFF,COMMENTS
0,39.4999352,-93.3466873,-0.825,-0.798,TS MP 748.1912 5' 3'
2.5,39.4999275,-93.3466873,-0.836,-0.803,
5,39.499939,-93.3466873,-0.833,-0.808,
7.5,39.4999352,-93.3466797,-0.838,-0.802,
10,39.4999352,-93.3466568,-0.841,-0.814,
12.5,39.4999352,-93.3466492,-0.829,-0.805,
15,39.4999313,-93.3466415,-0.827,-0.797,
17.5,39.4999352,-93.3466339,-0.828,-0.794,
20,39.4999313,-93.3466186,-0.826,-0.805,
22.5,39.4999313,-93.3466186,-0.803,-0.785,heavy brush off set 10'
25,39.4999657,-93.346611,-0.802,-0.78,
27.5,39.4999657,-93.3466034,-0.784,-0.731,
30,39.4999618,-93.3465958,-0.8,-0.775,
32.5,39.4999618,-93.3465805,-0.8,-0.782,
35,39.499958,-93.3465729,-0.793,-0.762,
37.5,39.499958,-93.34655,-0.78,-0.751,
40,39.4999504,-93.3465271,-0.768,-0.741,
42.5,39.4999428,-93.3465195,-0.756,-0.726,
45,39.4999428,-93.3465195,-0.743,-0.719,
47.5,39.499939,-93.3465118,-0.769,-0.719,
50,39.4999313,-93.346489,-0.726,-0.696,
52.5,39.4999352,-93.3464813,-0.655,-0.634,
55,39.499939,-93.3464737,-0.577,-0.542,
57.5,39.4999313,-93.3464508,-0.535,-0.52,
60,39.4999237,-93.3464279,-0.54,-0.52,end offset
62.5,39.4999161,-93.3464203,-0.559,-0.542,
65,39.4999008,-93.346405,-0.438,-0.414,
67.5,39.4999008,-93.346405,-0.37,-0.343,
70,39.4999008,-93.346405,-0.421,-0.409,
72.5,39.4998932,-93.3463974,-0.47,-0.431,
75,39.4998817,-93.3463974,-0.504,-0.465,
77.5,39.4998856,-93.3463821,-0.431,-0.404,
80,39.4998894,-93.3463669,-0.442,-0.393,
82.5,39.4998856,-93.3463287,-0.502,-0.482,
85,39.4998817,-93.3463287,-0.493,-0.485,
87.5,39.4998817,-93.3463211,-0.524,-0.54,
90,39.4998817,-93.3463135,-0.527,-0.506,
92.5,39.4998779,-93.3462906,-0.497,-0.471,
95,39.4998779,-93.346283,-0.525,-0.424,
97.5,39.4998779,-93.3462677,-0.557,-0.526,
100,39.4998741,-93.3462448,-0.538,-0.516,
102.5,39.4998703,-93.3462296,-0.516,-0.501,
105,39.4998741,-93.3462296,-0.597,-0.572,
107.5,39.4998741,-93.3462067,-0.478,-0.457,
110,39.4998741,-93.346199,-0.399,-0.38,
112.5,39.4998703,-93.3461762,-0.364,-0.352,
115,39.4998665,-93.3461609,-0.454,-0.426,
117.5,39.4998589,-93.346138,-0.455,-0.427,
